title,appid,type,price,release_year,required_age,is_multiplayer
Tic-Toc-Tower,389310,game,4.99,2015,0,1
Proteus,219680,game,9.99,2013,0,0
Major Stryker,358300,game,0,2014,0,0
Cat on a Diet,447890,game,4.99,2016,0,0
TUG,277930,game,0,2014,0,1
The Prophecy 2,421400,video,3.99,2016,0,0
Afterlife Empire Demo,395070,demo,0,2015,0,0
Jets'n'Guns Gold,262260,game,6.99,2014,0,0
OneShot,420530,game,0,1970,0,0
Wizardry 8,245450,game,9.99,2013,0,0
Anno 2070™: The Development Package,204282,dlc,3.99,2012,0,1
Brothers in Arms: Hell's Highway™,15390,game,9.99,2008,17,0
Mortal Kombat: Legacy,361720,video,0,2015,17,0
Train Simulator: BR Class 105 DMU Add-On,277778,dlc,19.99,2015,0,0
Delta Force: Black Hawk Down,32670,game,14.99,2009,0,1
Arma 2: Operation Arrowhead,33930,game,19.99,2010,17,1
TANE DLC: CSX Transportation GE B30-7,404216,dlc,16.99,2016,0,1
Kumoon : VR Expansion Kit 01,415760,dlc,4.99,2015,0,0
Invasion: Brain Craving,423710,game,0.99,2015,0,0
Adventurer Manager - Original Soundtrack,295560,dlc,1.99,2014,0,0
Rocksmith® 2014 – Toto - “Rosanna”,390446,dlc,2.99,2016,0,0
Everyday Genius: SquareLogic,32150,game,4.99,2009,0,0
Hero Academy - Tribe Pack,209307,dlc,4.99,2012,0,0
CoH 2 - Soviet Skin: (M) Two Tone Spring Front,249113,dlc,1.99,2013,17,1
Bloody Streets,336110,game,4.99,2015,0,0
Eufloria HD,221180,game,14.99,2014,0,0
Max Payne 2: The Fall of Max Payne,12150,game,9.99,2008,17,0
The House,302910,game,4.99,2014,17,0
Fantasy Grounds - 3.5E/PFRPG: B01: Under His Skin,301242,dlc,5.99,2014,0,1
Mystery P.I. - Lost in Los Angeles,3610,game,4.99,2009,0,0
Gathering Sky,356250,game,4.99,2015,0,0
Rocksmith® 2014 – Cake - “Short Skirt/Long Jacket”,294916,dlc,2.99,2014,0,0
Robo's World: The Zarnok Fortress,436360,game,9.99,2016,0,0
Ridge Racer Unbounded Demo,209040,demo,0,2012,0,1
Slybots: Frantic Zone,384100,game,6.99,2016,0,0
Shadowrun Chronicles: INFECTED Director's Cut,421900,game,29.99,2015,0,1
Cossacks: Campaign Expansion,4856,dlc,3.99,2011,0,0
Catlateral Damage Soundtrack,374250,dlc,0.99,2015,0,0
Ampu-Tea,289090,game,4.99,2014,0,0
Soban Fleet Pack,433241,dlc,6.99,2016,0,1
Renegade Ops,99300,game,15,2011,0,1
RWBY: Grimm Eclipse,418340,game,19.99,2015,0,1
Earn to Die 2,431590,game,4.99,2016,0,0
Signs of Life,263200,game,9.99,2014,0,1
Warhammer 40000: Dawn of War II: Retribution - Death Korps of Krieg Skin Pack,56489,dlc,6.99,2011,17,1
Rocksmith - My Chemical Romance - Planetary (GO!),206141,dlc,2.99,2012,0,0
Indie Assault,354910,game,9.99,2015,0,0
RIVE,278100,game,0,2016,0,0
Cobalt Demo,441990,demo,0,2016,0,1
Glitchrunners,446870,game,12.99,2016,0,0
Tyranny,362960,game,0,1970,0,0
AstroPop Deluxe,3340,game,4.99,2006,0,0
Azada,7340,game,9.99,2010,0,0
Rocksmith® 2014 – Tom Petty and the Heartbreakers - “Learning to Fly”,295045,dlc,2.99,2014,0,0
Canyon Capers - Rio Fever,307390,dlc,1.99,2014,0,0
Train Simulator: Freightliner Class 57/0 Loco Add-On,222566,dlc,7.99,2013,0,0
Kairo,233230,game,4.99,2013,0,0
System Shock 2,238210,game,9.99,2013,17,0
Dream,229580,game,16.99,2015,0,0
TriJinx: A Kristine Kross Mystery™,37370,game,6.99,2010,0,0
Damage Inc F4F-FM2 Panther Wildcat,215435,dlc,2.99,2012,0,1
F1 Race Stars - Monster Accessory Pack,220807,dlc,0.99,2012,0,1
D4: David's Costume Full Unlock Key,384220,dlc,1.99,2015,13,0
TinyKeep Original Soundtrack,344530,dlc,4.99,2015,0,0
Mines of Mars,413740,game,6.99,2015,0,0
Crypt of the Necrodancer Original Danny Baranowsky Soundtrack,314680,dlc,9.99,2014,0,0
Fragments of Him,428540,game,19.99,2016,0,0
Darksiders™,50640,game,19.99,2010,17,0
Axiom Verge Original Soundtrack,368920,dlc,9.99,2015,0,0
Krosmaster Arena,413730,game,0,2015,0,0
IRFaceRig Seal of Wisdom,435176,dlc,0.99,2016,0,0
Rugby 15,303820,game,19.99,2014,0,1
COH 2 - Soviet Skin: (H) Three Color Leningrad Front,231469,dlc,1.99,2013,0,1
Loopmasters - Cinematic FX,305340,dlc,34.99,2014,0,0
In The Shadow,382660,video,1.99,2015,0,0
Hit Tank PRO Demo,424070,demo,0,2015,0,0
Detached,436230,game,0,1970,0,1
Prince of Persia: The Two Thrones™,13530,game,9.99,2008,17,0
Hero of Many - Original Soundtrack,318640,dlc,0,2014,0,0
Magic 2012 Full Deck Unquenchable Fire,97318,dlc,9.99,1970,0,1
The Wizard's Pen™,3580,game,4.99,2009,0,0
Two Worlds II - Pirates of the Flying Fortress,200440,dlc,9.99,2011,17,1
CyberLink Power2Go 10 Platinum,425560,game,49.99,2016,0,0
Magic 2013 “Mana Mastery” Deck Key,208843,dlc,0.99,2013,0,1
Games of Glory - “Guards of the Synarchy”,363780,dlc,9.99,2015,0,1
President for a Day - Corruption,368780,game,4.99,2015,0,0
Warhammer® 40000: Dawn of War® II Chaos Rising,20570,game,19.99,2010,17,1
Foresight,315080,game,14.99,2014,0,1
Street Fighter X Tekken: Street Fighter Boost Gem Pack 1,210074,dlc,0.99,2012,0,1
Just Cause Demo,6930,demo,0,2007,0,0
Half-Life 2: Update,290930,mod,0,2015,0,0
Highborn,209850,game,9.99,2013,0,0
Heroes Rise: HeroFall,312300,game,3.99,2014,0,0
The Clans - Saga of the Twins,342090,game,9.99,2015,0,0
Anno 2205 - Tundra,441720,dlc,11.99,2016,0,0
Saints Row IV,206420,game,14.99,2013,17,0
CivCity: Rome,3980,game,9.99,2007,0,0
Jagged Alliance: Back in Action DLC: Urban Specialist Kit,203343,dlc,1.99,2013,17,0
Fantasy Grounds - C&C: A5 The Shattered Horn,332020,dlc,3.99,2014,0,1
Take On Mars,244030,game,21.99,2013,0,1
Roundabout Deluxe Edition Content,309920,dlc,4.99,2014,0,0
Rocksmith - Heart - Barracuda,206109,dlc,2.99,2012,0,0
Rebel Galaxy,290300,game,19.99,2015,0,0
Rocksmith® 2014 – Rage Against the Machine - “Killing in the Name”,271479,dlc,2.99,2014,0,0
WAKFU - Book I: The Throne of Ice,367910,video,3.99,2015,7,0
Hyper Box,438820,game,2.99,2016,0,0
Hyperdevotion Noire: Ultimate Little Rain Set,427003,dlc,0.99,2016,0,0
The Great Jitters: Pudding Panic,296650,game,6.99,2014,0,0
Snakebird,357300,game,6.99,2015,0,0
Don't Starve,219740,game,14.99,1970,0,0
Disney Infinity 3.0 - SciFi Pack,400980,dlc,3.99,2015,0,0
Solar 2,97000,game,9.99,2011,0,0
NotGTAV: The Kickstarter Avoidance Album,385520,dlc,0.99,2015,0,0
Battleborn: Season Pass,453380,dlc,19.99,2016,0,1
Furi,423230,game,0,1970,16,0
Disney Infinity 3.0 - Rise Against the Empire Play Set,400896,dlc,19.99,2015,0,0
RePete,448010,game,1.99,2016,0,0
Marvel Puzzle Quest - Avengers’ Battle Kit,265131,dlc,39.99,2013,0,1
FSX: Steam Edition - Ben Gurion Airport Add-On,352230,dlc,19.99,2015,0,1
Intrusion 2 Demo,217470,demo,0,2012,0,0
ChaosTower,354280,game,5.99,2016,0,0
iOMoon,465450,game,19.99,2016,0,0
The Black Watchmen,349220,game,14.99,2015,0,1
Stream Dream,371250,video,1.99,2015,0,0
Rocksmith - Queen - Stone Cold Crazy,206144,dlc,2.99,2012,0,0
Saints Row IV - GAT V Pack,247295,dlc,2.99,2013,17,0
Rocksmith® 2014 – Collective Soul - “Heavy”,436581,dlc,2.99,2016,0,0
Saturday Morning RPG Soundtrack,325640,dlc,6.99,2015,0,0
Sundown: The Vampire in Retreat,426450,video,3.99,2016,0,0
Crusader Kings II: Hymns of Abraham,226670,dlc,1.99,2013,0,1
Terrarium Land Demo,457350,demo,0,2016,0,0
A Bastard's Tale Demo,372730,demo,0,2015,0,0
Dead TrailZ,349150,game,9.99,2016,0,1
Moebius: Empire Rising,264520,game,14.99,2014,0,0
Rocksmith® 2014 – Hit Singles Song Pack IV,390455,dlc,9.99,2016,0,0
Rocksmith® 2014 – A Day To Remember - “All Signs Point to Lauderdale”,271462,dlc,2.99,2014,0,0
Wings of Luftwaffe Add-on,45302,dlc,4.99,2010,0,1
Painkiller Hell & Damnation: Full Metal Rocket,229250,dlc,3.99,2013,0,1
Dungeons - The Dark Lord,200550,game,19.99,2011,17,1
Train Simulator: SD70 V2 Volume 2 Loco Add-On,208365,dlc,19.99,2012,0,0
Mordheim: City of the Damned - Doomweaver,450811,dlc,1.99,2016,0,1
METAL GEAR SOLID V: THE PHANTOM PAIN - Tuxedo,406580,dlc,0.99,2015,18,1
Forge - PvP Pro Pack,249913,dlc,9.99,2013,0,1
All Work All Play,410660,video,4.99,2015,0,0
The Lost Heir 2: Forging a Kingdom,439750,game,3.99,2016,0,0
RPG Maker: Sci Fi Battlebacks,321180,dlc,9.99,2014,0,0
Forge - Limited Edition Starter Pack,249911,dlc,14.99,2013,0,1
Saints Row IV - Anime Pack,247304,dlc,2.99,2014,17,0
Influent DLC - Suomi [Learn Finnish],338372,dlc,4.99,2015,0,0
Deep Black: Reloaded,204760,game,29.99,2012,0,1
RPG Maker: Cinematic Soundtrack Music Pack,229755,dlc,19.99,2013,0,0
Mugen Souls - Points Fever Bundle 3,403454,dlc,3.99,2015,0,0
GOCCO OF WAR: Theme Song,419951,dlc,1.99,2015,0,1
Two Worlds II Castle Defense,7530,game,9.99,2011,0,0
Awesomenauts - Digital G Skin,256507,dlc,2.49,2013,0,1
The Long Journey Home,366910,game,0,1970,0,0
Train Simulator: Union Pacific GP50 Loco Add-On,222634,dlc,19.99,2014,0,0
Crazy Machines 2: Time Travel Add-On,18408,dlc,4.99,2011,0,0
Magicka Demo,73050,demo,0,2011,0,1
Tomb Raider: 1939 Multiplayer Map Pack,208814,dlc,3.99,2013,17,1
Rocksmith - Megadeth - Public Enemy No. 1,206101,dlc,2.99,2012,0,0
Trials Fusion - Empire of the Sky,311551,dlc,4.99,2014,0,1
Anti-Opoly,343990,game,9.99,2015,0,0
Fantasy Grounds - Deadlands Reloaded: Blood Drive 2,324590,dlc,4.99,2014,0,1
Sacred 3. Orcland Story,261161,dlc,2.99,2014,17,1
Episode 18 - Jack and the Beanstalk,261407,dlc,0.99,2014,0,0
The Prophecy,421410,video,3.99,2016,0,0
Sang-Froid - Tales of Werewolves Demo,261240,demo,0,2013,0,0
Insane Insects: The Inception,443070,game,9.99,2016,0,0
Kaiju Panic,352760,game,19.99,2015,0,0
Alter World,357280,game,1.99,2015,0,0
Choplifter HD,202070,game,9.99,2012,0,0
Incandescent,380550,game,1.99,2015,0,0
Waves Demo,107610,demo,0,2011,0,0
Overclocked: A History of Violence,339850,game,14.99,2015,0,0
Systematic Immunity,395100,game,0,2016,0,0
Z3TA+ 2 - DSF Fashion Leads Expansion Pack,293091,dlc,39.99,2014,0,0
Train Simulator: Metronom ME 146 Loco Add-On,222591,dlc,19.99,2013,0,0
Army of Tentacles: (Not) A Cthulhu Dating Sim Official Soundtrack,428710,dlc,1.99,2016,0,0
7 Wonders: Magical Mystery Tour,275830,game,6.99,2014,0,0
fault Series ORIGINAL SOUNDTRACK vol 1,408360,dlc,4.99,2015,0,0
Second Coming: Tactical Training,355090,game,4.99,2015,0,1
The Language Game,372720,game,4.99,2015,0,0
Aveyond 4: Shadows Of The Mist - Strategy Guide,434950,dlc,4.99,2016,0,0
Call of Duty®: Ghosts - Heartlands Pack,286630,dlc,1.99,2014,17,1
Entropy,255500,game,19.99,2013,0,1
Frontline Tactics - Tiger Camouflage,223320,dlc,0.99,2013,0,1
Rocksmith® 2014 – Devo - “Girl U Want”,436606,dlc,2.99,2016,0,0
CMYW,396590,game,3.99,2015,0,0
Rubber Ducky and the Rainbow Gun OST,420810,dlc,0.99,2015,0,0
Downpour,371400,game,0.99,2015,0,0
GRID Autosport - Black Edition Pack,282090,dlc,4.99,2014,0,1
Deep Eclipse: New Space Odyssey,326990,game,5.99,2014,0,0
Mass Effect 2,24980,game,19.99,2010,17,0
Gun Bombers,416180,game,7.99,2015,0,1
Jagged Alliance Online: Reloaded - Raven,416713,dlc,2.99,2015,0,1
Rocksmith® 2014 – Crobot - “Nowhere to Hide”,436608,dlc,2.99,2016,0,0
Moon Breakers:  Flyboy Bundle DLC,212531,dlc,14.99,2012,0,1
Rocksmith® 2014 – My Chemical Romance Song Pack II,436571,dlc,11.99,2016,0,0
Lugaru HD,25010,game,9.99,2010,0,0
Battle Group 2,277490,game,7.99,2014,0,0
BloodLust Shadowhunter,280600,game,12.99,2015,0,0
Life is Feudal: Your Own,290080,game,39.99,2015,0,1
Gunslinger Trainer,456420,game,3.99,2016,0,0
Myst: Masterpiece Edition,63660,game,5.99,2011,0,0
Train Simulator: N15 King Arthur Class ‘Sir Lamiel’ Loco Add-On,258674,dlc,19.99,2014,0,0
Boss 101,380920,game,0,1970,0,0
Crest,341710,game,8.99,2015,0,0
RPG Maker: Forest of the Necromancer Soundscapes,329822,dlc,9.99,2014,0,0
Stephen's Sausage Roll,353540,game,29.99,2016,0,0
Orcs Must Die! Unchained - Classic Pack,446740,dlc,3.99,2016,0,1
Little Farm Demo,15962,demo,0,2008,0,0
Rocksmith - Iron Butterly - In-A-Gadda-Da-Vida,206159,dlc,2.99,2012,0,0
Feeding Mr. Baldwin,382700,video,1.99,2015,0,0
VALENS,441640,game,7.99,2016,0,0
Tales of Zestiria - School Costume Set,382469,dlc,6.99,2015,0,1
Train Simulator: Southern Pacific GS-4 Loco Add-On,208352,dlc,19.99,2013,0,0
how do you Do It?,353360,game,0,2015,0,0
99 Spirits - Weeping Demon's Bell,262230,dlc,4.99,2015,0,0
Hand of Fate Original Soundtrack,351430,dlc,7.99,2015,0,0
Bridge Constructor Playground,279990,game,9.99,2014,0,0
Restricted-RPS - The Swindler's Tournament Arc,364960,game,6.99,2015,0,1
Lost Civilization,264580,game,4.99,2014,0,0
Train Simulator: Thompson Class B1 Loco Add-On,208289,dlc,19.99,2012,0,0
The Last NightMary - Soundtrack,446860,dlc,1.99,2016,0,0
Tropico 5 - Espionage,284441,dlc,9.99,2015,0,1
RPG Maker: Audiostock RPG Music Pack Vol.1,345570,dlc,9.99,2015,0,0
Magical Brickout,384940,game,5.99,2015,0,0
Captain Forever Remix,298560,game,14.99,2015,0,0
PAYDAY 2: The OVERKILL Pack,348090,dlc,4.99,2015,18,0
RIFT: Glory of the Ascended Pack,310280,dlc,99.99,2014,13,1
Watch_Dogs™,243470,game,29.99,2014,17,1
Dungeon League,362310,game,9.99,2015,0,0
TS Marketplace: COV AB Vans Wagon Pack 01,326046,dlc,4.99,2016,0,0
Aliens versus Predator Classic 2000,3730,game,4.99,2010,17,1
Ben and Ed,395200,game,9.99,2015,0,0
Normality,400370,game,5.99,2015,0,0
FINAL FANTASY® XIII,292120,game,15.99,2014,13,0
Soul Axiom,279900,game,19.99,2016,0,0
COH 2 - Soviet Skin: (L) Three Color Leningrad Front,231467,dlc,1.99,2013,0,1
White Noise Online,293860,game,5.99,2014,0,1
Star Realms - Gambit Set,440030,dlc,3.99,2016,0,1
Rocksmith® 2014 – Brand New Song Pack,390361,dlc,7.99,2015,0,0
The Indie Mixtape,352640,game,9.99,2015,0,1
Pid,218740,game,9.99,2012,0,0
Millennium 5 - Deluxe Contents (contains Guide),372270,dlc,5.99,2015,0,0
LEGO Batman 3: Beyond Gotham DLC: Dark Knight,327172,dlc,2.99,2014,0,0
Holodrive,370770,game,9.99,2016,0,1
STAR WARS™ The Clone Wars™ - Republic Heroes™,32420,game,19.99,2009,0,0
Hearts of Iron III: Japanese Vehicle Spritepack,214988,dlc,0.99,2012,0,1
Tinertia,311930,game,14.99,2015,0,0
Rocksmith® 2014 – Social Distortion - “Reach For The Sky”,369801,dlc,2.99,2015,0,0
Project Graviton,437880,game,1.99,2016,0,0
Feudalism,382880,game,0,2016,0,1
Rocksmith® 2014 – Seether - “Broken”,342768,dlc,2.99,2015,0,0
Rocksmith® 2014 – Killswitch Engage - “The End Of Heartache”,295042,dlc,2.99,2014,0,0
The Talos Principle - Bonus Content,322021,dlc,4.99,2014,0,0
Tropico 4: Junta Military DLC,57696,dlc,2.99,2011,0,0
Episode 9 - The Master Thief,261398,dlc,0.99,2014,0,0
Airline Tycoon 2 Demo,205370,demo,0,2012,0,0
Call of Duty®: Advanced Warfare - Netherlands Exoskeleton Pack,334220,dlc,1.99,2015,17,1
Mahjong Deluxe 3,462220,game,4.99,2016,0,0
Overture,343100,game,4.99,2015,0,0
Lifetime Access to Online Services,377641,dlc,0,2015,0,1
Shift 2 Unleashed,47920,game,19.99,2011,0,1
Rocksmith® 2014 – Radiohead - “Just”,258379,dlc,2.99,2013,0,0
Sniper: Ghost Warrior 2,34870,game,19.99,2013,17,1
Car Mechanic Manager,397840,game,4.99,2015,0,0
Finding Teddy 2 Original Soundtrack,355830,dlc,0,2015,0,0
All Zombies Must Die Demo,207130,demo,0,2012,0,0
GhostControl Inc.,280540,game,14.99,2014,0,0
Organ Trail: Director's Cut,233740,game,4.99,2013,0,0
Goat Simulator,265930,game,9.99,2014,0,0
Draconian Wars,296590,game,5.99,2014,0,1
T.E.C. 3001,280910,game,3.99,2014,0,1
Sonic Generations - Casino Nights DLC,200590,dlc,1.59,2012,0,0
Enforcer: Police Crime Action,318220,game,19.99,2014,18,0
Block Legend DX,345640,game,4.99,2015,0,1
Amygdala,369060,game,9.99,2015,0,0
3DMark Cloud Gate benchmark,406960,dlc,0,2015,0,0
Cities: Skylines - After Dark,369150,dlc,14.99,2015,0,0
ACE Champion Pack DLC,316130,dlc,49.99,2014,0,1
STAR WARS™ Republic Commando™,6000,game,9.99,2009,0,0
Kingdoms of Amalur: Reckoning™,102500,game,19.99,2012,17,0
Deathsmiles,314180,game,19.99,2016,0,0
Rocksmith® 2014 – Anthrax - “Got The Time”,342799,dlc,2.99,2015,0,0
Metal Assault,413170,game,0,2016,0,0
Panzer Corps Grand Campaign '40,279960,dlc,4.99,2014,0,1
Rocksmith - Three Days Grace - I Hate Everything About You,206097,dlc,2.99,2012,0,0
Evoland 2 - Soundtrack,396460,dlc,6.99,2015,0,0
Europa Universalis IV: El Dorado,338160,dlc,14.99,2015,0,1
Rocksmith® 2014 – No Doubt Song Pack,294981,dlc,7.99,2014,0,0
Intergalactic Bubbles,351490,game,1.99,2015,0,0
Games of Glory,342150,game,0,2015,0,1
Rocksmith - Queen - Fat Bottomed Girls,206145,dlc,2.99,2012,0,0
Warlock 2: Three Mighty Mages,320730,dlc,4.99,2014,0,1
Pixel: ru² Demo,351270,demo,0,2015,0,0
The Undying Plague,349440,game,2.99,2015,0,0
Wonky Pigeon!,364710,game,4.99,2015,0,0
Arcane Units Pack,400810,dlc,0.99,2016,0,0
Reign of Bullets,355350,game,12.99,2015,0,0
Rodina,314230,game,14.99,2014,0,0
X-Plane 10 Global - 64 Bit,292180,game,59.99,2014,0,1
Battlefield 2: Complete Collection,24860,game,0,2009,0,0
Rocksmith® 2014 – Slayer - “South of Heaven”,342839,dlc,2.99,2015,0,0
Knight of the Hamsters Soundtrack,344970,dlc,1.99,2015,0,0
Pineview Drive,288880,game,19.99,2014,0,0
Rocksmith® 2014 – System of a Down - “Toxicity”,271417,dlc,2.99,2014,0,0
Airline Tycoon 2: Falcon Airlines DLC,206882,dlc,7.99,2012,0,0
Ongaku Rock Pack,369950,dlc,0.99,2015,0,0
Galactic Civilizations III - Precursor Worlds DLC,420030,dlc,4.99,2015,0,1
Mega Coin Squad,312510,game,14.99,2014,0,0
Chainsaw Warrior,251710,game,4.99,2013,0,0
Time Mysteries: Inheritance - Remastered,350010,game,9.99,2015,0,0
Rambo The Video Game: Baker Team,274130,game,12.99,2014,16,0
Fran Bow - Original Soundtrack,404840,dlc,4.99,2015,0,0
Echo Tokyo - Wallpapers,372810,dlc,0.99,2016,0,0
Anomaly: Warzone Earth,91200,game,9.99,2011,0,0
Bowl Bound College Football,398640,game,19.99,2015,0,0
Mind Unleashed,450740,game,2.99,2016,0,0
Storm in a Teacup,104020,game,4.99,2012,0,0
Koala Kids,381870,game,2.99,2015,0,0
Men of War: Assault Squad 2 - Airborne,357760,dlc,9.99,2015,0,1
Dead In Bermuda Demo,396490,demo,0,2015,0,0
Call of Duty®: Ghosts - Weapon - The Maverick,301116,dlc,3.99,2014,17,1
Unhack - Original Soundtrack,343720,dlc,0,2015,0,0
Conflict: Denied Ops Demo,8090,demo,0,2008,0,1
Six Sides of the World - Soundtrack,429920,dlc,4.99,2016,0,0
Grow Home,323320,game,7.99,2015,0,0
PlayClaw 5 - Twitch Chat Overlay,407460,dlc,3.99,2015,0,1
Oddworld: New 'n' Tasty - 720p Movies Pack,441040,dlc,0,2016,0,0
TEMBO THE BADASS ELEPHANT,341870,game,14.99,2015,10,0
iPi Recorder 2,221220,game,0,1970,0,0
Awesomenauts - Wraithlord Scoop Announcer,351461,dlc,3.99,2015,0,1
CABAL Online,253490,game,0,2016,0,1
Legendary,16730,game,2.99,2008,17,0
F1 Race Stars - Music Accessory Pack,220803,dlc,0.99,2012,0,1
Wild Animal Racing,389510,game,6.99,2016,0,1
Project Root,284970,game,9.99,2014,0,0
Neighborhorde,446760,game,0,1970,0,0
Endless Legend™ - The Lost Tales,415710,dlc,1.99,2015,0,1
ICY,375400,game,12.99,2015,0,0
Echoes+,338000,game,0,2015,0,0
Curse of the Crescent Isle DX,365120,game,4.99,2015,0,0
Disney Infinity 3.0 - Sorcerers Apprentice Mickey,401069,dlc,4.99,2015,0,0
Siralim - Soundtrack,372550,dlc,2.99,2015,0,0
Borderlands 2: Assassin Stinging Blade Pack,224168,dlc,0.99,2013,17,0
The Mighty Quest For Epic Loot - The BIG Package,328818,dlc,79.99,2014,0,1
Oniken,252010,game,4.99,2014,0,0
Gotham City Impostors Free to Play: Gadget Pack - Professional ,216437,dlc,2.99,2012,0,1
USFIV: 2014 Challengers Vacation Pack,308269,dlc,3.99,2014,0,1
Call of Duty®: Black Ops II - Dead Man's Hand Personalization Pack,274120,dlc,1.99,2014,17,1
The Showdown Effect Demo,228540,demo,0,2013,0,1
Tetrobot & Co. Original Soundtrack,258470,dlc,3.99,2013,0,0
Rocksmith® 2014 – Cinderella - “Don’t Know What You Got (Till It’s Gone)”,342761,dlc,2.99,2015,0,0
Kholat,343710,game,19.99,2015,0,0
Rocksmith - Ram Jam - Black Betty,222095,dlc,2.99,2013,0,0
D4: Hand Cursor Set?Vol.3,384227,dlc,2.99,2015,13,0
Door Kickers,248610,game,19.99,2014,0,0
Sniper Elite 3 - Camouflage Weapons Pack,305181,dlc,3.99,2014,0,1
Intergalactic Road Warriors,435210,game,8.99,2016,0,0
HELLDIVERS™ - Pilot Pack,395234,dlc,2.99,2015,12,1
Warlock 2 E-book: The Great Mage Game,281511,dlc,4.99,2014,0,1
Trout Pioneer Pack,391370,dlc,34.99,2015,0,1
TANE DLC: Duchess,404212,dlc,16.99,2016,0,1
Assassin's Creed Revelations - The Ancestors Character Pack,201877,dlc,3.99,2011,0,1
Woody Two-Legs: Attack of the Zombie Pirates,49320,game,4.99,2010,0,0
Chariot,319450,game,14.99,2014,0,0
Rocksmith® 2014 – Kiss - “Love Gun”,390366,dlc,2.99,2015,0,0
Mount & Blade: Warband Demo,48710,demo,0,2010,0,0
MotoGP™15 Red Bull Rookies Cup,392420,dlc,3.99,2015,0,1
Duels 2013 Grinning Malice Deck Key,97386,dlc,0.99,2012,0,1
The Last Federation - Betrayed Hope,304480,dlc,6.99,2014,0,0
PAYDAY 2: The Official Soundtrack,254260,dlc,2.99,2013,0,0
Ace of Seafood,450500,game,11.99,2016,0,0
Battle of Empires : 1914-1918 - German campaign,340640,dlc,6.99,2015,0,0
A Story About My Uncle,278360,game,12.99,2014,0,0
Tower of Eglathia,351220,game,3.99,2015,0,0
Super Street Fighter IV: Arcade Edition - Complete Shoryuken Pack,45793,dlc,5.99,2011,0,1
Planet Stronghold: Colonial Defense,435260,game,19.99,2016,0,0
GameGuru - Buildings Pack,365520,dlc,29.99,2015,0,1
Sign Motion Demo,337430,demo,0,2014,0,0
S.T.A.L.K.E.R.: Call of Pripyat,41700,game,19.99,2010,0,1
Planetary Annihilation - Digital Deluxe Add-on,321580,dlc,34.99,2014,0,1
Magic 2012 Full Deck “Dragon’s Roar” ,97312,dlc,9.99,1970,0,1
Dungeon Defenders,65800,game,14.99,2011,0,1
Mass Destruction,396820,game,4.99,2015,0,0
Call of Duty®: Black Ops II - Beast Personalization Pack,274121,dlc,1.99,2014,17,1
Gyromancer,23380,game,5.99,2009,0,0
F-117A Nighthawk Stealth Fighter 2.0,328920,game,6.99,2014,0,0
Disney Infinity 3.0 - Pixar Pack,400981,dlc,3.99,2015,0,0
Rocksmith® 2014 – Breaking Benjamin - “Blow Me Away (ft. Valora)”,369826,dlc,2.99,2015,0,0
Dominique Pamplemousse,270310,game,4.99,2014,0,0
ZHEROS (Original Soundtrack),444540,dlc,4.99,2016,0,0
DEADBOLT,394970,game,9.99,2016,0,0
Super Indie Karts,323670,game,9.99,2015,0,0
Rage Runner,279520,game,4.99,2014,0,0
Devilian,407510,game,0,2015,17,1
Starship Rubicon,372030,game,9.99,2015,0,0
Rocksmith® 2014 – The Doors - “Break on Through (to the Other Side)”,369821,dlc,2.99,2015,0,0
Company of Heroes 2 - Case Blue Mission Pack,231479,dlc,9.99,2013,17,1
Survarium - Berserker Pack,369490,dlc,29.99,2015,0,1
Fantasy Grounds - AAW Map Pack Vol 3,425182,dlc,29.99,2015,0,1
Call of Duty®: Ghosts - Bling Pack,295430,dlc,1.99,2014,17,1
Loot Hero DX,294040,game,2.99,2015,0,0
Cobi Treasure Deluxe,301690,game,2.99,2014,0,0
RPG Maker: Rural Farm Tiles Resource Pack,271964,dlc,29.99,2014,0,0
Magicka: Mega Villain Robes,73095,dlc,1.99,2012,0,1
Tales of Zestiria - Seaside Resort Costumes Set,382464,dlc,6.99,2015,0,1
Call of Duty®: Ghosts - Hazmat Special Character,281343,dlc,1.99,2014,17,1
Street Fighter X Tekken: Street Fighter/Tekken Shared Assist Gem Pack 2,210073,dlc,2.99,2012,0,1
Rocksmith® 2014 – Skillet Song Pack,390399,dlc,7.99,2015,0,0
Vilmonic,458330,game,0,2016,0,0
Kane & Lynch 2: Multiplayer Masks Pack,28012,dlc,1.99,2010,17,1
Pirate Hell,321080,game,5.99,2014,0,0
Hyperdimension Neptunia Re;Birth1 Additional Content2,319018,dlc,0.99,2015,0,0
Rocksmith® 2014 – Bullet For My Valentine - “Hearts Burst Into Fire”,295052,dlc,2.99,2014,0,0
Rocksmith - Nickelback - Bottoms Up,222060,dlc,2.99,2012,0,0
Test Drive Unlimited 2,9930,game,19.99,2011,0,1
Rocksmith® 2014 – Green Day Song Pack,258367,dlc,7.99,2013,0,0
Train Simulator: Norfolk Southern GP38-2 High Hood Loco Add-On,258666,dlc,19.99,2014,0,0
Naruto the Movie: Ninja Clash in the Land of Snow,439560,video,3.99,2016,0,0
Red Goblin: Cursed Forest,364480,game,4.99,2015,0,0
Polyology,450650,game,4.99,2016,0,0
Mount and Blade Demo,22110,demo,0,2008,0,0
Sniper Elite V2 - The Neudorf Outpost Pack,63398,dlc,4.99,2012,0,0
Nancy Drew®: Ransom of the Seven Ships,31980,game,6.99,2009,0,0
